scour_depth,node_depth,k_py,p_ult_py,k_tz,t_ult_tz
0.000000,-9.055263,16821115940.771938,2.625919,7162055027.332889,1.194696
0.000000,-8.565789,6875.129781,3.599754,8555.424239,1.292269
0.000000,-8.076316,1291.443636,4.618795,389.191711,3.011788
0.000000,-7.586842,263.977810,4.982991,87.712651,1549878.561351
0.000000,-7.097368,242.660346,4.897635,105.986061,1.325342
0.000000,-6.607895,240.039092,6.528311,46.980979,1.052612
0.000000,-6.118421,362.214412,7.442259,58.913305,1.202566
0.000000,-5.628947,234.890041,4.409873,63.990968,1052118.448978
0.000000,-5.139474,701.582804,5.986951,42.706631,520161.034306
0.000000,-4.650000,1269.489070,0.768223,164171793.248850,0.058288
0.000000,-4.160526,624.541929,6.572961,78.008195,1.929846
0.000000,-3.671053,2127.870338,4.476745,593.847846,0.260023
0.000000,-3.181579,189.259729,25.950335,370.629854,0.158284
0.000000,-2.692105,118.215869,0.426529,6.426715,15296.640278
0.000000,-2.202632,1846.830341,3.790494,74.239878,0.218784
0.000000,-1.713158,978.843323,0.876198,28.341557,0.217770
0.000000,-1.223684,812.399802,0.112074,175.480089,0.033856
0.000000,-0.734211,69.382598,0.669124,47.033836,0.744581
0.000000,-0.244737,401.215021,2.463175,57.804831,6.256306
0.500000,-9.055263,5615.575725,3.582640,4420.910286,0.955631
0.500000,-8.565789,416.460356,11.308177,338.699455,5.081832
0.500000,-8.076316,374.886935,3.257553,88.827015,23.115716
0.500000,-7.586842,708.547413,1.435671,18110981849.677441,0.306799
0.500000,-7.097368,298.732516,4.003203,68.547685,0.622097
0.500000,-6.607895,436.843694,5.366026,8690125188.441078,0.191964
0.500000,-6.118421,170.422237,1.651321,17697769932.487991,0.327249
0.500000,-5.628947,765.343167,3.510905,204.299411,0.971707
0.500000,-5.139474,1178.261068,0.582417,32.122833,0.273050
0.500000,-4.650000,1021.830537,3.477928,6313.374633,0.111605
0.500000,-4.160526,643.584134,3.171760,105.403586,1.385821
0.500000,-3.671053,20.939420,8.380720,16.524650,0.124137
0.500000,-3.181579,1311.343308,1.406709,36.918689,1.058459
0.500000,-2.692105,384.327533,5.769437,2492727870.935987,0.190101
0.500000,-2.202632,323.288265,2.769112,611.953639,0.142235
0.500000,-1.713158,27.239522,321688.258906,1.904128,715.594030
0.500000,-1.223684,620.752138,1.093304,22.922652,0.676281
0.500000,-0.734211,365.648625,7.116698,144.511506,1.261786
0.500000,-0.244737,0.001000,0.000000,0.001000,0.000000
1.000000,-9.055263,1410.775636,3.962559,5436892635.004734,0.904527
1.000000,-8.565789,126232.428902,2.758803,2251.323698,1.635118
1.000000,-8.076316,490.091870,3.342401,121.986322,3136777.619226
1.000000,-7.586842,180.592629,6.220475,173.592344,3.893812
1.000000,-7.097368,260.941392,2.780999,76.687510,1.000072
1.000000,-6.607895,389.746950,4.202448,34.436696,495106.903658
1.000000,-6.118421,833.907263,3.407958,101.644189,0.862375
1.000000,-5.628947,724.285602,2.019471,35.363846,314702.018378
1.000000,-5.139474,1016.922841,3.787782,84748667085.707611,0.553005
1.000000,-4.650000,49.170590,0.312976,34.329783,0.179649
1.000000,-4.160526,268.218503,2.462631,6016029631.728219,0.119140
1.000000,-3.671053,1378.362921,3.595967,11969304253.494053,0.248911
1.000000,-3.181579,170.644563,0.217394,8.117201,18700.761654
1.000000,-2.692105,2110.711839,1.411461,10.007213,21798.644512
1.000000,-2.202632,2015.769917,3.040325,10269987125.591436,0.353579
1.000000,-1.713158,832.000754,0.348610,57.543882,0.185580
1.000000,-1.223684,2689.092096,4.029114,167823808457.594482,0.734365
1.000000,-0.734211,0.001000,0.000000,0.001000,0.000000
1.000000,-0.244737,0.001000,0.000000,0.001000,0.000000
1.500000,-9.055263,1009.109914,6.294642,88533.612159,1.062079
1.500000,-8.565789,136.255317,5950810.258035,1201.946959,4.103588
1.500000,-8.076316,190.091706,5.396792,184.119664,5.823435
1.500000,-7.586842,380.723470,3.815925,201.044781,1.762166
1.500000,-7.097368,543.538103,2.392283,43.776036,303375.205345
