scour_depth,node_depth,k_py,p_ult_py,k_tz,t_ult_tz
0.000000,-9.055263,3717005659.889456,215179.889480,6656857285.955688,201906.392399
0.000000,-8.565789,3636432108.830050,183415.622900,6656757115.716958,214238.561157
0.000000,-8.076316,3556335825.878197,149097.823974,6656668857.639584,228217.389934
0.000000,-7.586842,3478668587.153380,113914.372362,6656592533.699932,241182.333393
0.000000,-7.097368,3405431549.048569,79748.276820,6656528162.910002,250284.474512
0.000000,-6.607895,3338590335.542883,48478.011961,6656475761.309525,253065.939259
0.000000,-6.118421,3279990406.513873,21777.444439,6656435341.959310,247958.458450
0.000000,-5.628947,3231277695.994482,947.534025,6656406914.935809,234610.341697
0.000000,-5.139474,3193828841.409196,0.000000,6656390487.326942,213990.518034
0.000000,-4.650000,3168694403.660462,0.000000,6656386063.229144,188247.056721
0.000000,-4.160526,3156557450.428741,0.000000,6656393643.745662,160334.394986
0.000000,-3.671053,3157708869.314658,0.000000,6656413226.986100,133480.128262
0.000000,-3.181579,3172039880.397494,0.000000,6656444808.067206,110618.928994
0.000000,-2.692105,3199051465.200970,11325.968733,6656488379.114896,93938.557501
0.000000,-2.202632,3237879809.716652,29716.735924,6656543929.267529,84639.081158
0.000000,-1.713158,3287336330.770609,50233.587691,6656611444.680422,82921.318497
0.000000,-1.223684,3345960367.106168,71997.066769,6656690908.531594,88143.180762
0.000000,-0.734211,3412082133.288390,94284.629861,6656782301.028759,99053.120600
0.000000,-0.244737,3483893051.647372,116528.263697,6656885599.417538,114031.281195
0.500000,-9.055263,3344623365.634857,310030.055229,6759384187.521053,186366.642607
0.500000,-8.565789,3243340248.461127,280299.530517,6759397793.835006,184589.986160
0.500000,-8.076316,3145584424.612646,244814.196276,6759414874.618206,180298.521831
0.500000,-7.586842,3053643133.867856,205141.355255,6759435425.630417,172384.812386
0.500000,-7.097368,2969750033.313469,163307.604070,6759459441.758502,160503.937671
0.500000,-6.607895,2896000644.311027,121594.643240,6759486917.018543,145162.264602
0.500000,-6.118421,2834273965.388345,82303.074840,6759517844.558326,127519.497240
0.500000,-5.628947,2786163655.741493,47521.045594,6759552216.660186,109032.968233
0.500000,-5.139474,2752921231.158755,18931.894986,6759590024.744223,91119.178570
0.500000,-4.650000,2735412798.449465,0.000000,6759631259.371865,74953.379756
0.500000,-4.160526,2734090110.794406,0.000000,6759675910.249801,61427.098442
0.500000,-3.671053,2748976215.908717,0.000000,6759723966.234257,51205.319123
0.500000,-3.181579,2779665680.095116,0.000000,6759775415.335635,44804.069301
0.500000,-2.692105,2825339229.101583,0.000000,6759830244.723500,42632.909484
0.500000,-2.202632,2884792536.617869,3478.730437,6759888440.731908,44982.178003
0.500000,-1.713158,2956478692.645394,21795.376678,6759949988.865087,51960.418045
0.500000,-1.223684,3038563504.850700,43210.032421,6760014873.803450,63403.210735
0.500000,-0.734211,3128992190.373841,66614.328159,6760083079.409955,78788.035575
0.500000,-0.244737,3225565237.029522,91028.704625,6760154588.736794,97199.249843
1.000000,-9.055263,3211435469.515472,432339.947438,6988036465.902704,328493.037685
1.000000,-8.565789,3113048655.420554,407271.191840,6988242894.730832,339925.998319
1.000000,-8.076316,3020841216.743237,372605.425598,6988433893.755919,340477.640653
1.000000,-7.586842,2937015155.305535,329630.360613,6988609415.408800,328933.808419
1.000000,-7.097368,2863607993.161603,280413.258911,6988769415.949982,306550.570283
1.000000,-6.607895,2802416838.844227,227606.522796,6988913855.487816,276558.041483
1.000000,-6.118421,2754934669.989156,174181.067041,6989042697.995070,243013.557706
1.000000,-5.628947,2722301116.502924,123127.800915,6989155911.323907,209537.325953
1.000000,-5.139474,2705268782.703650,77170.746951,6989253467.219251,178478.830536
1.000000,-4.650000,2704185081.962738,38530.307833,6989335341.330541,150792.671344
1.000000,-4.160526,2718988785.925053,8763.743107,6989401513.221863,126522.883274
1.000000,-3.671053,2749220051.717085,0.000000,6989451966.380447,105525.578422
1.000000,-3.181579,2794042549.641026,0.000000,6989486688.223537,88025.923006
1.000000,-2.692105,2852276376.000409,0.000000,6989505670.103622,74777.127205
1.000000,-2.202632,2922440573.291676,0.000000,6989508907.312021,66830.669932
1.000000,-1.713158,3002804165.056262,0.000000,6989496399.080835,65100.560403
1.000000,-1.223684,3091444547.946996,18575.215390,6989468148.583247,69947.936209
1.000000,-0.734211,3186311825.188940,42056.885450,6989424162.932178,80948.880364
1.000000,-0.244737,3285297232.925604,67934.602628,6989364453.177310,96902.932651
1.500000,-9.055263,3248990796.732422,575363.439389,7189795391.958162,148604.336639
1.500000,-8.565789,3168275410.698114,557517.959956,7190072330.115699,148482.470564
1.500000,-8.076316,3096959130.357647,525823.082190,7190317007.237798,151681.705248
1.500000,-7.586842,3037142409.096399,481130.369832,7190529362.277888,158341.933501
1.500000,-7.097368,2990586398.806649,425428.369956,7190709342.235332,168444.528735
1.500000,-6.607895,2958623863.296765,361673.305280,7190856902.177473,181413.579306
1.500000,-6.118421,2942094715.744263,293500.928460,7190972005.258328,195662.097832
1.500000,-5.628947,2941310662.751761,224861.709197,7191054622.733925,208439.147915
1.500000,-5.139474,2956050981.653208,159632.039524,7191104733.974261,216258.370445
1.500000,-4.650000,2985588852.214544,101254.825833,7191122326.471895,215893.472229
1.500000,-4.160526,3028745185.030838,52454.354132,7191107395.847142,205577.765043
1.500000,-3.671053,3083964793.165541,15055.156505,7191059945.849899,185866.192739
1.500000,-3.181579,3149408246.327613,0.000000,7190979988.358068,159734.399811
1.500000,-2.692105,3223051958.170259,0.000000,7190867543.372602,131838.158070
1.500000,-2.202632,3302789027.482944,0.000000,7190722639.009175,107234.279657
1.500000,-1.713158,3386524031.729458,0.000000,7190545311.486452,90066.327486
1.500000,-1.223684,3472256223.896884,13.574496,7190335605.111011,82665.735138
1.500000,-0.734211,3558147218.709615,22403.700713,7190093572.258891,85283.892922
1.500000,-0.244737,3642571049.603035,48846.728508,7189819273.353790,96403.620030
2.000000,-9.055263,3320902903.958922,728666.415789,7187724923.932463,361562.865436
2.000000,-8.565789,3262128653.345986,720174.343030,7187910461.429845,407362.231113
2.000000,-8.076316,3216588638.943306,693493.613453,7188063777.705706,440598.997238
2.000000,-7.586842,3186338461.398984,648908.963615,7188184834.389933,453693.232460
2.000000,-7.097368,3172886084.764684,588209.493584,7188273601.173877,443136.118265
2.000000,-6.607895,3177077584.229710,514558.643418,7188330055.822998,410499.845749
2.000000,-6.118421,3199022244.891850,432195.780633,7188354184.186143,361692.039972
2.000000,-5.628947,3238065266.150398,346011.542641,7188345980.201463,304841.186080
2.000000,-5.139474,3292812405.519248,261057.798215,7188305445.898943,247790.056555
2.000000,-4.650000,3361206274.852982,182060.553822,7188232591.399577,196234.331667
2.000000,-4.160526,3440649164.009384,112999.634615,7188127434.911145,153088.124477
