scour_m,z_m,spring_type,k_FEM,k_ref,alpha_FEM,alpha_theory,ratio_FEM_theory,r_squared,n_regression_points
0.000000,0.000000,k_py,556.164761,556.164761,1.000000,1.000000,1.000000,0.393405,5
0.000000,-0.500000,k_py,2285.306694,2285.306694,1.000000,1.000000,1.000000,0.615817,5
0.000000,-1.000000,k_py,1023.659653,1023.659653,1.000000,1.000000,1.000000,0.183596,5
0.000000,-1.500000,k_py,11446.153016,11446.153016,1.000000,1.000000,1.000000,0.784521,5
0.000000,-2.000000,k_py,7167.900097,7167.900097,1.000000,1.000000,1.000000,0.328377,5
0.000000,-2.500000,k_py,25.445010,25.445010,1.000000,1.000000,1.000000,0.000006,5
0.000000,-3.000000,k_py,4295.612216,4295.612216,1.000000,1.000000,1.000000,0.178279,5
0.000000,-3.500000,k_py,10236.762820,10236.762820,1.000000,1.000000,1.000000,0.739706,5
0.000000,-4.000000,k_py,6379.349251,6379.349251,1.000000,1.000000,1.000000,0.572231,5
0.000000,-4.500000,k_py,17985.581802,17985.581802,1.000000,1.000000,1.000000,0.797068,5
0.000000,-5.000000,k_py,5398.911809,5398.911809,1.000000,1.000000,1.000000,0.274749,5
0.000000,-5.500000,k_py,3024.927406,3024.927406,1.000000,1.000000,1.000000,0.042402,5
0.000000,-6.000000,k_py,4225.307160,4225.307160,1.000000,1.000000,1.000000,0.482664,5
0.000000,-6.500000,k_py,4739.202477,4739.202477,1.000000,1.000000,1.000000,0.090299,5
0.000000,-7.000000,k_py,338.970767,338.970767,1.000000,1.000000,1.000000,0.004416,5
0.000000,-7.500000,k_py,2931.063182,2931.063182,1.000000,1.000000,1.000000,0.055758,5
0.000000,-8.000000,k_py,779.710561,779.710561,1.000000,1.000000,1.000000,0.002687,5
0.000000,-8.500000,k_py,2497.578120,2497.578120,1.000000,1.000000,1.000000,0.013927,5
0.000000,-9.000000,k_py,5942.928856,5942.928856,1.000000,1.000000,1.000000,0.112240,5
0.000000,0.000000,k_tz,177.896511,177.896511,1.000000,1.000000,1.000000,0.603930,5
0.000000,-0.500000,k_tz,118.617695,118.617695,1.000000,1.000000,1.000000,0.625406,5
0.000000,-1.000000,k_tz,559.326370,559.326370,1.000000,1.000000,1.000000,0.718411,5
0.000000,-1.500000,k_tz,583.259125,583.259125,1.000000,1.000000,1.000000,0.800798,5
0.000000,-2.000000,k_tz,805.633652,805.633652,1.000000,1.000000,1.000000,0.132712,5
0.000000,-2.500000,k_tz,1818.548527,1818.548527,1.000000,1.000000,1.000000,0.448369,5
0.000000,-3.000000,k_tz,1948.364277,1948.364277,1.000000,1.000000,1.000000,0.708161,5
0.000000,-3.500000,k_tz,4054.277160,4054.277160,1.000000,1.000000,1.000000,0.804102,5
0.000000,-4.000000,k_tz,229.283817,229.283817,1.000000,1.000000,1.000000,0.096407,5
0.000000,-4.500000,k_tz,2721.425164,2721.425164,1.000000,1.000000,1.000000,0.562543,5
0.000000,-5.000000,k_tz,5656.199613,5656.199613,1.000000,1.000000,1.000000,0.764167,5
0.000000,-5.500000,k_tz,1315.643811,1315.643811,1.000000,1.000000,1.000000,0.342816,5
0.000000,-6.000000,k_tz,4011.991303,4011.991303,1.000000,1.000000,1.000000,0.267747,5
0.000000,-6.500000,k_tz,1182.523335,1182.523335,1.000000,1.000000,1.000000,0.068392,5
0.000000,-7.000000,k_tz,6496.250382,6496.250382,1.000000,1.000000,1.000000,0.811258,5
0.000000,-7.500000,k_tz,6284.402756,6284.402756,1.000000,1.000000,1.000000,0.839204,5
0.000000,-8.000000,k_tz,4222.353288,4222.353288,1.000000,1.000000,1.000000,0.432879,5
0.000000,-8.500000,k_tz,9558.657021,9558.657021,1.000000,1.000000,1.000000,0.917713,5
0.000000,-9.000000,k_tz,3852.451674,3852.451674,1.000000,1.000000,1.000000,0.431149,5
0.500000,0.000000,k_py,2.070890,556.164761,0.003724,0.000000,,0.000048,5
0.500000,-0.500000,k_py,236.685827,2285.306694,0.103569,0.000000,,0.221267,5
0.500000,-1.000000,k_py,6843.064978,1023.659653,6.684903,0.707107,9.453880,0.629963,5
0.500000,-1.500000,k_py,1581.536711,11446.153016,0.138172,0.816497,0.169225,0.042557,5
0.500000,-2.000000,k_py,1355.448861,7167.900097,0.189100,0.866025,0.218354,0.018024,5
0.500000,-2.500000,k_py,5136.721896,25.445010,201.875409,0.894427,225.703569,0.213931,5
0.500000,-3.000000,k_py,5577.314212,4295.612216,1.298375,0.912871,1.422298,0.751532,5
0.500000,-3.500000,k_py,6180.295906,10236.762820,0.603735,0.925820,0.652109,0.783569,5
0.500000,-4.000000,k_py,3500.793833,6379.349251,0.548770,0.935414,0.586660,0.041375,5
0.500000,-4.500000,k_py,11424.244784,17985.581802,0.635189,0.942809,0.673720,0.623082,5
0.500000,-5.000000,k_py,8226.485275,5398.911809,1.523730,0.948683,1.606153,0.152284,5
0.500000,-5.500000,k_py,448.806673,3024.927406,0.148369,0.953463,0.155611,0.000542,5
0.500000,-6.000000,k_py,2944.994267,4225.307160,0.696989,0.957427,0.727982,0.087113,5
0.500000,-6.500000,k_py,8434.209306,4739.202477,1.779668,0.960769,1.852338,0.302148,5
0.500000,-7.000000,k_py,21137.281290,338.970767,62.357240,0.963624,64.711166,0.494664,5
0.500000,-7.500000,k_py,14216.725062,2931.063182,4.850365,0.966092,5.020604,0.476047,5
0.500000,-8.000000,k_py,20449.123649,779.710561,26.226557,0.968246,27.086672,0.926909,5
0.500000,-8.500000,k_py,11777.420352,2497.578120,4.715536,0.970143,4.860664,0.437777,5
0.500000,-9.000000,k_py,703.774029,5942.928856,0.118422,0.971825,0.121855,0.007890,5
0.500000,0.000000,k_tz,16.207045,177.896511,0.091104,0.000000,,0.377223,5
0.500000,-0.500000,k_tz,429.025960,118.617695,3.616880,0.000000,,0.772675,5
0.500000,-1.000000,k_tz,1166.404111,559.326370,2.085373,0.707107,2.949163,0.707922,5
