z_m,su_kPa,w_dissip,Np,k_ini_kNm3,p_ult_kNm,y50_mm,t_ult_kNm,source_k,source_pult,source_y50,source_tult
0.5,25.0,0.1,0.4053013852635871,829.5666517070163,81.06027705271742,48.85700075209029,122.49214814144904,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
1.0,35.0,0.5572804268821655,3.285084618857949,6472.2176090669245,919.8236932802256,71.05939176022491,691.6165918768535,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
1.5,45.0,0.7757393720204131,3.294546011569861,11583.495241996994,1186.03656416515,51.195107322402514,748.8112258306766,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
2.0,55.0,0.47455331740478485,3.9351714650520924,8660.819344670772,1731.4754446229206,99.96025639816297,707.1131675877818,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
2.5,65.0,0.35477951245272316,3.184804386686127,7652.144558230983,1656.098281076786,108.2113823434905,781.4198477184752,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
3.0,75.0,0.2969284705852238,2.5994039472643458,7389.65871419608,1559.6423683586074,105.52871442915348,893.2323161795516,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
3.5,85.0,0.28742295215808505,1.6964275859430118,8106.840865547969,1153.570758441248,71.14798338669956,1074.698742844608,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
4.0,95.0,0.2967840616751347,0.640410032520245,9355.682092306302,486.71162471538617,26.011552119520832,437.6379373519384,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
4.5,105.0,0.271032144448463,1.4547686080428373,9443.247600153521,1222.0056307559832,64.70261516472983,608.9974019426293,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
5.0,115.0,0.1839901118758692,1.6097551390518678,7021.074808578949,1480.9747279277185,105.46638287617567,958.7523120536408,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
5.5,125.0,0.1,2.655298135103885,4147.833258535081,2655.298135103885,320.0825551075401,1443.7320474797996,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
6.0,135.0,0.1,2.7381920455370246,4479.659919217887,2957.2474091799863,330.0749903461754,1761.2674115532125,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
6.5,145.0,0.1,2.9872058821017395,4811.486579900694,3465.1588232380177,360.0923296464371,1248.9967451969053,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
7.0,155.0,0.1,2.8997139561489664,5143.3132405835,3595.6453056247183,349.54562724793317,1521.660748795925,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
7.5,165.0,0.1,3.282595349662121,5475.139901266307,4333.025861554,395.7000131222076,1684.812884373209,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
8.0,175.0,0.1,3.4904804817988233,5806.966561949113,4886.672674518352,420.75949830147954,2017.6110549489044,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
8.5,185.0,0.1,2.3549565310810627,6138.79322263192,3485.3356659999727,283.8779170106731,1253.5969975502978,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
9.0,195.0,0.1,0.9877915844790052,6470.619883314726,1540.954871787248,119.07320315328568,432.5429308940102,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
9.5,205.0,0.1,0.0,6802.446543997532,0.0,0.01,0.0,OptumGX dissipation + su,OptumGX plates (Hmax),OptumGX Np/w ratio,OptumGX plates (Vmax)
