# OpenSees Spine-with-Ribs Spring Stiffness Data
# =============================================
# Generated from OptumGX FEM Plate Element Results
# Foundation: D = 8.0 m, L = 9.3 m
# Discretization: dz = 0.5 m, 19 depth levels
#
# Column Definitions:
#   z_m: Depth below original seabed [m] (negative values)
#   z_normalized: z / L (0 at seabed, 1 at skirt tip)
#   k_py_S*_kN_per_m2: Lateral spring stiffness at scour S [kN/m^2]
#   k_tz_S*_kN_per_m2: Vertical friction spring stiffness at scour S [kN/m^2]
#   alpha_S*: Theoretical stress-relief factor sqrt((|z|-S)/|z|)
#
# Usage in OpenSees:
#   Spring stiffness k [kN/m] = k_py * dz * circumference_fraction
#   For full circumference: k = k_py * 0.5 * pi * D
#
z_m,z_normalized,k_py_S0.0_kN_per_m2,k_tz_S0.0_kN_per_m2,alpha_S0.0,k_py_S0.5_kN_per_m2,k_tz_S0.5_kN_per_m2,alpha_S0.5,k_py_S1.0_kN_per_m2,k_tz_S1.0_kN_per_m2,alpha_S1.0,k_py_S2.0_kN_per_m2,k_tz_S2.0_kN_per_m2,alpha_S2.0,k_py_S2.5_kN_per_m2,k_tz_S2.5_kN_per_m2,alpha_S2.5,k_py_S3.0_kN_per_m2,k_tz_S3.0_kN_per_m2,alpha_S3.0,k_py_S3.5_kN_per_m2,k_tz_S3.5_kN_per_m2,alpha_S3.5,k_py_S4.0_kN_per_m2,k_tz_S4.0_kN_per_m2,alpha_S4.0
0.000000,0.000000,4466.235719,488.939117,1.000000,3132.037061,49.920837,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.606222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.500000,0.053763,15265.438671,2495.910337,1.000000,8413.826829,488.076104,0.000000,23541.277844,1655.146973,0.000000,17222.709237,6075.230280,0.000000,14572.503923,1726.114372,0.000000,12510.788522,917.306790,0.000000,15436.474046,3698.385466,0.000000,13167.078315,5844.244218,0.000000
-1.000000,0.107527,26601.712185,3441.923383,1.000000,22807.505475,5162.367126,0.707107,9795.079629,2844.946021,0.000000,12610.952187,0.000000,0.000000,33855.097708,3633.785800,0.000000,29104.558306,7488.225266,0.000000,27717.161349,5747.645183,0.000000,19838.737387,0.000000,0.000000
-1.500000,0.161290,27116.800160,3026.232955,1.000000,40981.846069,7201.988867,0.816497,25323.721043,3111.145302,0.577350,54586.325502,10240.508386,0.000000,9039.978548,3413.946189,0.000000,2388.178692,4109.708992,0.000000,27119.713536,2185.891251,0.000000,58425.120234,10524.368603,0.000000
-2.000000,0.215054,71377.059038,6714.255674,1.000000,26323.420795,3630.891765,0.866025,37349.602060,8014.435749,0.707107,18191.235850,3041.701092,0.000000,32834.844387,9723.679994,0.000000,63110.606168,14307.772350,0.000000,12204.420130,0.000000,0.000000,28161.059325,0.000000,0.000000
-2.500000,0.268817,63223.832174,5967.831046,1.000000,65069.004741,7258.610065,0.894427,61919.292523,7054.667644,0.774597,54079.996334,12301.772695,0.447214,54881.763843,6453.019603,0.000000,77150.105785,3947.581110,0.000000,81960.468250,13458.125077,0.000000,48172.364631,15504.158367,0.000000
-3.000000,0.322581,58141.606902,3853.125036,1.000000,72276.563637,7987.653204,0.912871,48595.471893,10551.094015,0.816497,52559.225699,10004.548095,0.577350,34883.782859,2683.803847,0.408248,19121.699783,1288.798077,0.000000,85864.604267,13990.703163,0.000000,58649.515063,1470.654561,0.000000
-3.500000,0.376344,77580.167276,5987.512385,1.000000,75155.504331,6549.503068,0.925820,49713.707000,8809.549352,0.845154,42721.613749,2626.815829,0.654654,74782.604887,23339.501739,0.534522,52066.544181,15277.152026,0.377964,14157.058431,3073.487570,0.000000,110254.421729,20108.404621,0.000000
-4.000000,0.430108,122000.864013,6420.050755,1.000000,89960.651346,10246.048367,0.935414,95665.625776,10945.614871,0.866025,65712.531424,16082.608117,0.707107,62075.925368,1880.001538,0.612372,52109.556616,10468.787832,0.500000,75378.740865,15456.075369,0.353553,17028.048148,0.000000,0.000000
-4.500000,0.483871,108479.431405,6427.104297,1.000000,119913.548290,9370.359649,0.942809,115122.860819,12215.222498,0.881917,70710.583456,13798.004346,0.745356,97705.364627,12088.493790,0.666667,52870.690653,13851.088147,0.577350,43772.250227,14365.653453,0.471405,52205.001928,16019.788234,0.333333
-5.000000,0.537634,99589.155710,5288.249231,1.000000,108083.599877,12613.231459,0.948683,95704.086067,10728.164669,0.894427,74413.241007,14892.083973,0.774597,79657.309904,19155.890140,0.707107,74521.684775,25698.182137,0.632456,63295.745069,6964.121530,0.547723,55643.239093,15079.693408,0.447214
-5.500000,0.591398,142660.521186,7653.890334,1.000000,154876.340339,9573.238092,0.953463,129739.099569,13836.716618,0.904534,103345.325214,21103.064340,0.797724,98184.475333,12881.213360,0.738549,66201.251786,4183.346712,0.674200,51238.361678,30106.229879,0.603023,83921.688875,28074.905501,0.522233
-6.000000,0.645161,127651.036759,13447.314432,1.000000,126789.138371,11463.644608,0.957427,148554.209525,12711.828707,0.912871,109647.615342,15555.574693,0.816497,126713.678538,19252.316854,0.763763,98711.260061,17532.830247,0.707107,79264.839286,7462.918795,0.645497,77323.053307,12825.312770,0.577350
-6.500000,0.698925,172963.557208,12112.197077,1.000000,145857.518124,11951.920784,0.960769,118836.815333,11035.641182,0.919866,130265.435083,14181.962815,0.832050,122417.012368,13274.393244,0.784465,118405.364462,20675.828700,0.733799,97645.265696,18473.595118,0.679366,96667.938268,12855.085092,0.620174
-7.000000,0.752688,165275.630221,11008.872729,1.000000,164762.970078,14474.535803,0.963624,174271.709703,13313.050580,0.925820,160258.265260,14087.301057,0.845154,151432.239169,16005.555185,0.801784,125170.956804,24135.731557,0.755929,104537.392811,21303.665826,0.707107,91976.017833,15578.296937,0.654654
-7.500000,0.806452,206401.445910,14455.623769,1.000000,158593.397228,12668.088767,0.966092,151860.300413,11914.128824,0.930949,127612.806240,11731.618152,0.856349,137456.005495,10912.557247,0.816497,120041.044050,6773.144619,0.774597,128349.146810,11182.744653,0.730297,118479.806712,22516.436022,0.683130
-8.000000,0.860215,192217.240397,14833.316645,1.000000,197606.359246,15090.142277,0.968246,167492.513153,17359.141221,0.935414,161588.776541,19325.009779,0.866025,174543.733118,15002.290932,0.829156,136433.796562,19987.869906,0.790569,124647.478230,19113.071385,0.750000,104481.254517,15767.173306,0.707107
-8.500000,0.913978,227182.403004,17615.258296,1.000000,207735.888805,19121.574983,0.970143,210875.302418,19040.354087,0.939336,174716.541036,18190.842483,0.874475,181151.065209,17442.739208,0.840168,185312.946572,15650.914131,0.804400,145493.020709,12969.643083,0.766965,160979.695735,18582.934126,0.727607
-9.000000,0.967742,238521.980991,27010.645499,1.000000,212226.248394,28062.002357,0.971825,224285.654654,27910.750503,0.942809,194247.204285,24485.457380,0.881917,187224.731667,25631.289411,0.849837,172518.172735,20450.173053,0.816497,171378.108928,21778.216614,0.781736,168255.544242,19013.844939,0.745356
