# Master Stiffness Matrix for OpenSees Spine-with-Ribs Model
# ===========================================================
# Generated from OptumGX FEM Plate Results
# Method: Multi-step linear regression (steps 3-7)
# Smoothing: Gaussian filter (sigma = 1.5 dz)
#
# Foundation: D = 8.0 m, L = 9.3 m
# Discretization: dz = 0.5 m, 19 depth levels
#
# Column Definitions:
#   z_m: Depth below original seabed [m]
#   z_normalized: z / L
#   k_py_S*_raw: Raw lateral stiffness from regression [kN/m^2]
#   k_py_S*_smooth: Gaussian-smoothed lateral stiffness [kN/m^2]
#   k_py_S*_R2: Regression R-squared goodness of fit
#   k_tz_S*_raw: Raw vertical friction stiffness [kN/m^2]
#   k_tz_S*_smooth: Smoothed vertical friction stiffness [kN/m^2]
#   alpha_S*: Theoretical stress-relief factor sqrt((|z|-S)/|z|)
#
# OpenSees Usage:
#   k_spring [kN/m] = k_py_smooth * dz * circumference_fraction
#
z_m,z_normalized,k_py_S0.0_raw,k_py_S0.0_smooth,k_py_S0.0_R2,k_tz_S0.0_raw,k_tz_S0.0_smooth,k_tz_S0.0_R2,alpha_S0.0,k_py_S0.5_raw,k_py_S0.5_smooth,k_py_S0.5_R2,k_tz_S0.5_raw,k_tz_S0.5_smooth,k_tz_S0.5_R2,alpha_S0.5,k_py_S1.0_raw,k_py_S1.0_smooth,k_py_S1.0_R2,k_tz_S1.0_raw,k_tz_S1.0_smooth,k_tz_S1.0_R2,alpha_S1.0,k_py_S2.0_raw,k_py_S2.0_smooth,k_py_S2.0_R2,k_tz_S2.0_raw,k_tz_S2.0_smooth,k_tz_S2.0_R2,alpha_S2.0,k_py_S2.5_raw,k_py_S2.5_smooth,k_py_S2.5_R2,k_tz_S2.5_raw,k_tz_S2.5_smooth,k_tz_S2.5_R2,alpha_S2.5,k_py_S3.0_raw,k_py_S3.0_smooth,k_py_S3.0_R2,k_tz_S3.0_raw,k_tz_S3.0_smooth,k_tz_S3.0_R2,alpha_S3.0,k_py_S3.5_raw,k_py_S3.5_smooth,k_py_S3.5_R2,k_tz_S3.5_raw,k_tz_S3.5_smooth,k_tz_S3.5_R2,alpha_S3.5,k_py_S4.0_raw,k_py_S4.0_smooth,k_py_S4.0_R2,k_tz_S4.0_raw,k_tz_S4.0_smooth,k_tz_S4.0_R2,alpha_S4.0
0.000000,0.000000,556.164761,1417.530279,0.393405,177.896511,228.182847,0.603930,1.000000,2.070890,872.949444,0.000048,16.207045,312.199665,0.377223,0.000000,0.000000,426.789589,0.000000,0.000000,256.424636,0.000000,0.000000,0.000000,1729.376203,0.000000,0.000000,303.173597,0.000000,0.000000,38.713473,374.609506,0.543001,0.000000,183.465165,0.000000,0.000000,0.000000,428.417096,0.000000,0.000000,271.105591,0.000000,0.000000,0.000000,1267.506213,0.000000,0.000000,263.826830,0.000000,0.000000,0.000000,1214.545511,0.000000,0.000000,207.012136,0.000000,0.000000
-0.500000,0.053763,2285.306694,2545.001666,0.615817,118.617695,324.911390,0.625406,1.000000,236.685827,1788.087970,0.221267,429.025960,626.507556,0.772675,0.000000,408.241470,1211.624395,0.664639,849.068021,447.600344,0.914435,0.000000,2514.678314,3287.304892,0.441166,1115.159266,520.759185,0.902920,0.000000,42.773576,1048.917592,0.006018,269.960771,439.396498,0.693306,0.000000,1450.328962,686.031021,0.726660,45.700608,642.171158,0.073298,0.000000,2505.210862,2542.620800,0.751942,843.097892,409.283294,0.765801,0.000000,1580.733154,2474.602838,0.580419,733.861779,357.426960,0.892846,0.000000
-1.000000,0.107527,1023.659653,4110.681855,0.183596,559.326370,498.180769,0.718411,1.000000,6843.064978,2589.691405,0.629963,1166.404111,928.610070,0.707922,0.707107,155.036999,2523.235888,0.001647,373.837700,679.750233,0.149799,0.000000,8757.620899,4486.513793,0.691373,0.000000,755.457532,0.000000,0.000000,1388.054640,2319.023321,0.985315,303.573071,804.830967,0.759067,0.000000,837.422843,919.411872,0.562492,1773.051032,1128.825402,0.682780,0.000000,4018.102798,4089.077907,0.127355,638.197305,471.373991,0.714165,0.000000,5874.257740,3779.393617,0.423321,0.000000,516.551286,0.000000,0.000000
-1.500000,0.161290,11446.153016,5306.884273,0.784521,583.259125,766.994512,0.800798,1.000000,1581.536711,3006.601539,0.042557,2230.844852,1013.832894,0.377582,0.816497,7700.126577,3833.034987,0.866192,423.607472,952.130053,0.066180,0.577350,6191.642158,4662.441414,0.571973,1448.473835,958.157211,0.956610,0.000000,2977.366017,3960.117089,0.750885,2296.087755,1124.945311,0.478094,0.000000,359.341808,1267.013523,0.957214,1163.377626,1537.636774,0.726291,0.000000,6666.829037,5663.979842,0.152442,372.463432,472.043374,0.917039,0.000000,5371.236838,4569.266091,0.686626,1363.643589,692.275639,0.749206,0.000000
-2.000000,0.215054,7167.900097,5454.110038,0.328377,805.633652,1156.766377,0.132712,1.000000,1355.448861,3419.401141,0.018024,315.449967,867.977709,0.162465,0.866025,5545.318249,4446.670086,0.309833,2399.024419,1168.095612,0.562193,0.707107,1238.713782,4310.190294,0.037663,1725.856998,1052.924013,0.391546,0.000000,10298.866186,5404.701900,0.625176,1153.305567,1279.263298,0.902132,0.000000,1483.079196,1917.898661,0.404268,3201.487372,1661.939590,0.856792,0.000000,5871.671999,7170.652965,0.418768,0.000000,515.295062,0.000000,0.000000,4866.471338,4669.730244,0.090580,0.000000,922.215080,0.000000,0.000000
-2.500000,0.268817,25.445010,5245.873913,0.000006,1818.548527,1633.349017,0.448369,1.000000,5136.721896,4160.739774,0.213931,312.434695,734.124346,0.019903,0.894427,3152.601979,4388.868996,0.050477,1197.344718,1251.309955,0.300491,0.774597,3591.642581,4489.537596,0.691531,354.734363,1086.389018,0.706421,0.447214,3115.456161,6574.906515,0.201078,1331.438364,1443.111822,0.148560,0.000000,3521.503726,2947.895266,0.859648,1203.269789,1471.478658,0.576214,0.000000,8440.371005,8321.191361,0.782191,975.274590,628.555058,0.913457,0.000000,4830.743046,4269.987195,0.033104,1366.927267,1170.794051,0.444166,0.000000
-3.000000,0.322581,4295.612216,5923.326051,0.178279,1948.364277,2050.095858,0.708161,1.000000,5577.314212,5008.102647,0.751532,231.448210,802.215272,0.064062,0.912871,4067.878741,4264.203830,0.177658,223.390824,1316.937175,0.020620,0.816497,3303.866833,5379.390804,0.259838,753.701978,1248.128400,0.061726,0.577350,6807.622592,8138.235967,0.705478,21.985920,1955.350032,0.000187,0.408248,1756.339375,4329.187783,0.096456,786.335702,1226.837219,0.504134,0.000000,15440.153811,8494.059547,0.772254,938.791713,742.459412,0.997621,0.000000,3684.923894,3687.973128,0.029807,2628.018084,1267.296898,0.535397,0.000000
-3.500000,0.376344,10236.762820,7533.680538,0.739706,4054.277160,2290.299711,0.804102,1.000000,6180.295906,5759.034082,0.783569,1773.454117,974.027080,0.718555,0.925820,3964.786109,4457.091636,0.456140,1881.278861,1428.898063,0.607176,0.845154,12655.780407,6064.086157,0.716996,2216.263646,1654.097708,0.726520,0.654654,9007.141367,10217.505487,0.496177,2666.205122,2744.395304,0.683401,0.534522,8047.610975,5753.455140,0.914965,261.975361,1289.741470,0.013615,0.377964,3278.363145,7600.466831,0.617304,377.507429,816.722550,0.617220,0.000000,2302.509666,3460.773703,0.018346,631.564409,1145.530339,0.208579,0.000000
-4.000000,0.430108,6379.349251,8980.250763,0.572231,229.283817,2487.337551,0.096407,1.000000,3500.793833,6436.119455,0.041375,1188.456986,1032.958084,0.089244,0.935414,4406.229233,4926.245055,0.461041,2722.530161,1408.920305,0.654879,0.866025,3378.281214,5819.558858,0.275510,70.955030,2182.208945,0.000271,0.707107,16639.670441,11453.291144,0.724205,7508.394056,3169.158141,0.519760,0.612372,8430.980101,6653.221853,0.468471,1726.324544,1825.663337,0.546806,0.500000,6304.393638,6373.983391,0.085229,1527.943701,865.144133,0.422232,0.353553,1779.076998,4413.315635,0.284561,376.739876,1014.282754,1.000000,0.000000
-4.500000,0.483871,17985.581802,9093.863014,0.797068,2721.425164,2809.832126,0.562543,1.000000,11424.244784,6695.199537,0.623082,1097.026118,935.348371,0.121402,0.942809,7464.363815,5564.585887,0.264165,514.513592,1167.424875,0.260802,0.881917,6431.103450,5058.335875,0.094536,6766.715180,2472.593017,0.336618,0.745356,18812.157309,10373.417496,0.682534,1497.671816,2853.224048,0.445812,0.666667,6678.928812,6892.338982,0.290101,1926.606100,2693.235334,0.338992,0.577350,7738.772116,5462.503514,0.238678,143.798826,904.761048,0.024796,0.471405,3199.259642,7065.322955,0.080354,1266.884530,1108.675209,0.187845,0.333333
-5.000000,0.537634,5398.911809,7648.009245,0.274749,5656.199613,3089.289918,0.764167,1.000000,8226.485275,6172.161204,0.152284,283.534654,844.894744,0.015647,0.948683,2704.337385,6596.041687,0.206987,434.652633,888.836055,0.435642,0.894427,763.490658,4675.454496,0.009291,709.497175,2328.399692,0.423693,0.774597,328.538279,7749.564567,0.000206,1270.967466,2228.493983,0.218298,0.707107,6282.816879,7105.155109,0.122627,4728.350872,3477.733019,0.578774,0.632456,408.176414,5287.768422,0.000299,1677.240962,952.653355,0.258391,0.547723,10531.043528,10511.373701,0.274406,326.066270,1454.157868,0.010906,0.447214
