# OpenSees Spring Stiffness Data (SMOOTHED)
# ==========================================
# Power-law smoothing applied to remove FEM mesh artifacts
# Recommended for structural analysis input
# Foundation: D = 8.0 m, L = 9.3 m
#
z_m,z_normalized,k_py_S0.0_kN_per_m2,k_tz_S0.0_kN_per_m2,alpha_S0.0,k_py_S0.5_kN_per_m2,k_tz_S0.5_kN_per_m2,alpha_S0.5,k_py_S1.0_kN_per_m2,k_tz_S1.0_kN_per_m2,alpha_S1.0,k_py_S2.0_kN_per_m2,k_tz_S2.0_kN_per_m2,alpha_S2.0,k_py_S2.5_kN_per_m2,k_tz_S2.5_kN_per_m2,alpha_S2.5,k_py_S3.0_kN_per_m2,k_tz_S3.0_kN_per_m2,alpha_S3.0,k_py_S3.5_kN_per_m2,k_tz_S3.5_kN_per_m2,alpha_S3.5,k_py_S4.0_kN_per_m2,k_tz_S4.0_kN_per_m2,alpha_S4.0
0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-0.50,0.05,10389.40,262.10,1.00,10982.44,1136.76,0.00,7479.11,1650.67,0.00,5260.37,3698.85,0.00,6267.46,2491.70,0.00,4110.11,3307.79,0.00,5221.14,3868.76,0.00,7606.51,6832.08,0.00
-1.00,0.11,21882.46,746.48,1.00,22363.07,2256.69,0.71,16687.95,2997.11,0.00,12381.94,0.00,0.00,14192.25,4084.94,0.00,10027.86,5067.69,0.00,11649.02,5673.70,0.00,15322.62,0.00,0.00
-1.50,0.16,33832.55,1376.94,1.00,33899.01,3370.36,0.82,26686.60,4248.48,0.58,20429.67,6961.28,0.00,22892.30,5454.69,0.00,16896.49,6504.09,0.00,18627.85,7098.09,0.00,23080.65,10159.86,0.00
-2.00,0.22,46089.46,2126.05,1.00,45536.97,4479.99,0.87,37235.38,5441.84,0.71,29144.78,8214.88,0.00,32137.42,6696.91,0.00,24466.02,7763.93,0.00,25990.40,0.00,0.00,30866.02,0.00,0.00
-2.50,0.27,58579.70,2977.88,1.00,57251.40,5586.61,0.89,48213.06,6593.85,0.77,38392.35,9340.73,0.45,41810.23,7852.16,0.00,32603.47,8906.88,0.00,33652.13,9412.28,0.00,38671.79,12218.52,0.00
-3.00,0.32,71259.08,3921.66,1.00,69027.11,6690.85,0.91,59545.10,7713.94,0.82,48087.65,10374.24,0.58,51838.12,8942.52,0.41,41224.14,9964.57,0.00,41561.03,10409.64,0.00,46493.85,13050.25,0.00
-3.50,0.38,84097.95,4949.48,1.00,80854.05,7793.11,0.93,71180.59,8808.17,0.85,58171.85,11336.78,0.65,62171.25,9981.71,0.53,50268.55,10956.24,0.38,49681.57,11334.92,0.00,54329.49,13797.48,0.00
-4.00,0.43,97074.95,6055.19,1.00,92725.00,8893.68,0.94,83082.31,9880.73,0.87,68601.40,12242.46,0.71,72773.10,10979.03,0.61,59692.32,11894.70,0.50,57987.81,12202.65,0.35,62176.77,0.00,0.00
-4.50,0.48,110173.93,7233.82,1.00,104634.59,9992.77,0.94,95221.80,10934.70,0.88,79342.59,13101.20,0.75,83615.62,11941.12,0.67,69460.79,12788.97,0.58,66459.89,13023.02,0.47,70034.24,15108.54,0.33
-5.00,0.54,123382.25,8481.29,1.00,116578.59,11090.55,0.95,107576.52,11972.43,0.89,90368.46,13920.29,0.77,94676.55,12872.96,0.71,79546.10,13645.75,0.63,75082.08,13803.49,0.55,77900.77,15694.59,0.45
-5.50,0.59,136689.71,9794.10,1.00,128553.64,12187.15,0.95,120128.13,12995.76,0.90,101656.90,14705.28,0.80,105937.73,13778.40,0.74,89925.23,14470.15,0.67,83841.60,14549.72,0.60,85775.48,16244.29,0.52
-6.00,0.65,150087.93,11169.28,1.00,140556.98,13282.68,0.96,132861.41,14006.18,0.91,113189.40,15460.51,0.82,117384.04,14660.51,0.76,100578.83,15266.18,0.71,92727.81,15266.16,0.65,93657.60,16762.93,0.58
-6.50,0.70,163569.86,12604.22,1.00,152586.30,14377.23,0.96,145763.50,15004.90,0.92,124950.20,16189.45,0.83,129002.71,15521.75,0.78,111490.35,16037.07,0.73,101731.76,15956.33,0.68,101546.55,17254.64,0.62
-7.00,0.75,177129.52,14096.62,1.00,164639.66,15470.89,0.96,158823.36,15992.96,0.93,136925.73,16894.96,0.85,140782.75,16364.18,0.80,122645.44,16785.47,0.76,110845.75,16623.11,0.71,109441.78,17722.74,0.65
-7.50,0.81,190761.74,15644.41,1.00,176715.37,16563.70,0.97,172031.43,16971.21,0.93,149104.13,17579.37,0.86,152714.62,17189.51,0.82,134031.55,17513.57,0.77,120063.11,17268.89,0.73,117342.86,18169.94,0.68
-8.00,0.86,204462.04,17245.77,1.00,188811.98,17655.73,0.97,185379.35,17940.40,0.94,161474.95,18244.68,0.87,164789.94,17999.19,0.83,145637.57,18223.22,0.79,129378.00,17895.67,0.75,125249.41,18598.48,0.71
-8.50,0.91,218226.46,18899.02,1.00,200928.22,18747.03,0.97,198859.70,18901.17,0.94,174028.91,18892.55,0.87,177001.32,18794.48,0.84,157453.60,18916.01,0.80,138785.25,18505.15,0.77,133161.07,19010.23,0.73
-9.00,0.97,232051.50,20602.64,1.00,213062.96,19837.65,0.97,212465.88,19854.09,0.94,186757.71,19524.44,0.88,189342.13,19576.46,0.85,169470.75,19593.29,0.82,148280.25,19098.78,0.78,141077.56,19406.78,0.75
