# OpenSees Master Stiffness Matrix - Global Power-Law Regression
# ================================================================
#
# Foundation: D = 8.0 m, L = 9.3 m
# Method: Global Non-Linear Least Squares Regression
# Model: k(z,S) = A * (|z|-S)^b + k0
#
# Physical basis: Power-law depth dependence reflects
#   - Increasing effective overburden with depth
#   - Clay stiffness proportional to (sigma_v')^n
#   - Constitutively consistent (no mesh artifacts)
#
# Column format: k_{type}_S{scour} [kN/m^2]
#
z_m,z_normalized,k_py_S0.0,k_py_S0.5,k_py_S1.0,k_py_S2.0,k_py_S2.5,k_py_S3.0,k_py_S3.5,k_py_S4.0,k_tz_S0.0,k_tz_S0.5,k_tz_S1.0,k_tz_S2.0,k_tz_S2.5,k_tz_S3.0,k_tz_S3.5,k_tz_S4.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-0.50,0.05,148.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1.00,0.11,268.55,263.32,0.00,0.00,0.00,0.00,0.00,0.00,76.18,62.65,0.00,0.00,0.00,0.00,0.00,0.00
-1.50,0.16,379.29,313.49,403.88,0.00,0.00,0.00,0.00,0.00,84.29,67.14,37.41,0.00,0.00,0.00,0.00,0.00
-2.00,0.22,484.58,347.16,438.62,0.00,0.00,0.00,0.00,0.00,90.56,69.92,43.70,0.00,0.00,0.00,0.00,0.00
-2.50,0.27,585.98,373.23,476.18,557.24,0.00,0.00,0.00,0.00,95.75,71.96,47.86,194.12,0.00,0.00,0.00,0.00
-3.00,0.32,684.39,394.78,515.71,582.18,527.17,0.00,0.00,0.00,100.20,73.58,51.05,202.78,52.73,0.00,0.00,0.00
-3.50,0.38,780.39,413.31,556.76,597.59,546.29,270.95,0.00,0.00,104.13,74.94,53.67,208.13,66.77,0.00,0.00,0.00
-4.00,0.43,874.36,429.66,599.08,608.90,558.11,323.98,376.63,0.00,107.66,76.10,55.91,212.05,76.66,0.00,42.23,0.00
-4.50,0.48,966.60,444.34,642.47,617.91,566.79,359.69,441.72,565.68,110.87,77.13,57.88,215.18,84.55,0.00,66.76,0.00
-5.00,0.54,1057.33,457.70,686.80,625.42,573.69,387.39,484.90,582.71,113.82,78.04,59.64,217.78,91.22,0.00,87.26,0.00
-5.50,0.59,1146.71,470.00,731.98,631.87,579.45,410.33,518.07,593.24,116.56,78.87,61.24,220.03,97.06,0.00,105.53,0.00
-6.00,0.65,1234.90,481.40,777.92,637.55,584.40,430.08,545.35,600.96,119.12,79.62,62.70,221.99,102.29,0.00,122.30,0.00
-6.50,0.70,1322.00,492.06,824.55,642.62,588.75,447.52,568.71,607.12,121.52,80.32,64.06,223.75,107.05,0.00,137.96,0.00
-7.00,0.75,1408.11,502.07,871.83,647.20,592.64,463.20,589.23,612.24,123.79,80.96,65.32,225.34,111.43,0.00,152.75,0.00
-7.50,0.81,1493.31,511.52,919.70,651.39,596.15,477.49,607.61,616.65,125.94,81.57,66.50,226.80,115.50,0.00,166.84,0.00
-8.00,0.86,1577.67,520.48,968.13,655.25,599.37,490.64,624.29,620.53,127.98,82.13,67.62,228.14,119.31,0.00,180.34,0.00
-8.50,0.91,1661.26,529.00,1017.08,658.83,602.32,502.84,639.61,623.99,129.93,82.66,68.67,229.38,122.90,0.00,193.35,0.00
-9.00,0.97,1744.11,537.13,1066.53,662.17,605.07,514.25,653.78,627.12,131.80,83.16,69.67,230.54,126.30,0.00,205.91,0.00
