# OpenSees Master Stiffness Matrix - Global Power-Law Regression
# ================================================================
#
# Foundation: D = 8.0 m, L = 9.3 m
# Method: Global Non-Linear Least Squares Regression
# Model: k(z,S) = A * (|z|-S)^b + k0
#
# Physical basis: Power-law depth dependence reflects
#   - Increasing effective overburden with depth
#   - Clay stiffness proportional to (sigma_v')^n
#   - Constitutively consistent (no mesh artifacts)
#
# Column format: k_{type}_S{scour} [kN/m^2]
#
z_m,z_normalized,k_py_S0.0,k_py_S0.5,k_py_S1.0,k_py_S2.0,k_py_S2.5,k_py_S3.0,k_py_S3.5,k_py_S4.0,k_tz_S0.0,k_tz_S0.5,k_tz_S1.0,k_tz_S2.0,k_tz_S2.5,k_tz_S3.0,k_tz_S3.5,k_tz_S4.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-0.50,0.05,4515.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,289.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-1.00,0.11,4664.71,4373.00,0.00,0.00,0.00,0.00,0.00,0.00,575.55,280.43,0.00,0.00,0.00,0.00,0.00,0.00
-1.50,0.16,4756.99,4521.53,4230.04,0.00,0.00,0.00,0.00,0.00,874.70,557.47,270.70,0.00,0.00,0.00,0.00,0.00
-2.00,0.22,4824.77,4613.30,4377.70,0.00,0.00,0.00,0.00,0.00,1183.03,847.69,538.98,0.00,0.00,0.00,0.00,0.00
-2.50,0.27,4878.71,4680.71,4468.94,3942.02,0.00,0.00,0.00,0.00,1498.37,1146.80,820.02,250.56,0.00,0.00,0.00,0.00
-3.00,0.32,4923.68,4734.35,4535.96,4087.80,3796.78,0.00,0.00,0.00,1819.40,1452.71,1109.68,500.59,240.12,0.00,0.00,0.00
-3.50,0.38,4962.35,4779.08,4589.29,4177.88,3941.52,3650.54,0.00,0.00,2145.25,1764.15,1405.93,762.50,480.59,229.39,0.00,0.00
-4.00,0.43,4996.33,4817.53,4633.75,4244.04,4030.96,3794.19,3503.17,0.00,2475.29,2080.27,1707.52,1032.45,732.50,459.99,218.34,0.00
-4.50,0.48,5026.68,4851.32,4671.98,4296.68,4096.65,3882.95,3645.63,3354.47,2809.02,2400.44,2013.65,1308.53,992.13,701.55,438.70,206.93
-5.00,0.54,5054.14,4881.51,4705.58,4340.58,4148.93,3948.14,3733.66,3495.65,3146.08,2724.20,2323.70,1589.60,1257.67,950.52,669.55,416.65
-5.50,0.59,5079.22,4908.81,4735.58,4378.32,4192.51,4000.02,3798.32,3582.89,3486.15,3051.19,2637.23,1874.89,1528.00,1205.16,907.47,636.35
-6.00,0.65,5102.34,4933.76,4762.73,4411.49,4229.99,4043.27,3849.77,3646.97,3828.99,3381.10,2953.88,2163.84,1802.39,1464.39,1150.80,862.78
-6.50,0.70,5123.78,4956.75,4787.53,4441.11,4262.92,4080.46,3892.67,3697.96,4174.39,3713.69,3273.36,2456.04,2080.30,1727.51,1398.53,1094.36
-7.00,0.75,5143.78,4978.07,4810.38,4467.91,4292.34,4113.14,3929.55,3740.47,4522.16,4048.76,3595.45,2751.14,2361.33,1994.01,1649.97,1330.13
-7.50,0.81,5162.54,4997.96,4831.58,4492.40,4318.95,4142.34,3961.96,3777.02,4872.14,4386.14,3919.93,3048.88,2645.16,2263.50,1904.64,1569.43
-8.00,0.86,5180.20,5016.61,4851.36,4514.96,4343.26,4168.74,3990.92,3809.14,5224.22,4725.67,4246.64,3349.04,2931.53,2535.67,2162.17,1811.80
-8.50,0.91,5196.90,5034.18,4869.90,4535.89,4365.66,4192.87,4017.10,3837.84,5578.25,5067.22,4575.44,3651.44,3220.22,2810.28,2422.26,2056.89
-9.00,0.97,5212.73,5050.78,4887.36,4555.41,4386.44,4215.10,4041.03,3863.79,5934.15,5410.68,4906.20,3955.92,3511.07,3087.12,2684.68,2304.43
