# Global Power-Law Fit Parameters
# ================================
# Model: k(z,S) = A * (|z|-S)^b + k0
#
# A: Amplitude [kN/m^(2+b)]
# b: Depth exponent [-]
# k0: Mudline offset [kN/m^2]
#
spring_type,scour_m,A_amplitude,b_exponent,k0_offset,L_eff_m,L_eff_ratio
k_py,0.0000,268.5548,0.8515,0.0000,9.3000,1.0000
k_py,0.5000,313.4946,0.2516,0.0000,8.8000,0.9462
k_py,1.0000,63.2238,1.1501,375.3916,8.3000,0.8925
k_py,2.0000,372.3693,0.1000,209.8087,7.3000,0.7849
k_py,2.5000,285.5544,0.1000,260.7356,6.8000,0.7312
k_py,3.0000,323.9823,0.2579,0.0000,6.3000,0.6774
k_py,3.5000,441.7206,0.2300,0.0000,5.8000,0.6237
k_py,4.0000,254.3037,0.1000,328.4089,5.3000,0.5699
k_tz,0.0000,76.1812,0.2495,0.0000,9.3000,1.0000
k_tz,0.5000,67.1420,0.1000,0.0000,8.8000,0.9462
k_tz,1.0000,43.7022,0.2243,0.0000,8.3000,0.8925
k_tz,2.0000,129.2410,0.1000,73.5360,7.3000,0.7849
k_tz,2.5000,66.7706,0.3405,0.0000,6.8000,0.7312
k_tz,3.0000,0.0000,0.0000,0.0000,6.3000,0.6774
k_tz,3.5000,66.7551,0.6608,0.0000,5.8000,0.6237
k_tz,4.0000,0.0000,0.0000,0.0000,5.3000,0.5699
