# Global Power-Law Fit Parameters
# ================================
# Model: k(z,S) = A * (|z|-S)^b + k0
#
# A: Amplitude [kN/m^(2+b)]
# b: Depth exponent [-]
# k0: Mudline offset [kN/m^2]
#
spring_type,scour_m,A_amplitude,b_exponent,k0_offset,L_eff_m,L_eff_ratio
k_py,0.0000,2230.1756,0.1000,2434.5315,9.3000,1.0000
k_py,0.5000,2217.8850,0.1000,2303.6427,8.8000,0.9462
k_py,1.0000,2204.9491,0.1000,2172.7539,8.3000,0.8925
k_py,2.0000,2176.8226,0.1000,1910.9763,7.3000,0.7849
k_py,2.5000,2161.4324,0.1000,1780.0875,6.8000,0.7312
k_py,3.0000,2144.9877,0.1000,1649.1988,6.3000,0.6774
k_py,3.5000,2127.3236,0.1000,1518.3100,5.8000,0.6237
k_py,4.0000,2108.2317,0.1000,1387.4212,5.3000,0.5699
k_tz,0.0000,538.9144,1.0890,36.6342,9.3000,1.0000
k_tz,0.5000,522.8094,1.0890,34.6646,8.8000,0.9462
k_tz,1.0000,506.2861,1.0890,32.6951,8.3000,0.8925
k_tz,2.0000,471.8301,1.0890,28.7559,7.3000,0.7849
k_tz,2.5000,453.8042,1.0890,26.7863,6.8000,0.7312
k_tz,3.0000,435.1697,1.0890,24.8167,6.3000,0.6774
k_tz,3.5000,415.8553,1.0890,22.8471,5.8000,0.6237
k_tz,4.0000,395.7740,1.0890,20.8776,5.3000,0.5699
