# VH Envelope Analysis Summary
# Suction Bucket Foundation: D=8.0m, L=9.3m
# Soil: Gunsan Marine Clay (s_u0=2 kPa, k=1.5 kPa/m)
# Design Loads: V=4500.0 kN, H=800.0 kN
#
scour_m,L_eff_m,L_eff_ratio,V_max_kN,H_max_kN,V_tension_kN,V_normalized,H_normalized,alpha_stress_relief,exponent_a,exponent_b,fit_R2,dV_dS,dH_dS,differential_sensitivity,FoS_radial,is_safe
0.0000,9.3000,1.0000,8937.3794,2205.2427,2088.3876,1.0000,1.0000,1.0000,3.8129,2.3237,0.9997,-0.0774,-0.1195,1.5432,1.8879,True
0.2500,9.0500,0.9731,8834.1127,2174.2570,2068.5080,0.9884,0.9859,0.9865,3.6904,2.2505,0.9998,-0.0774,-0.1195,1.5432,1.8568,True
0.5000,8.8000,0.9462,8672.0634,2112.8541,2067.9886,0.9703,0.9581,0.9727,3.6781,2.2336,0.9997,-0.0774,-0.1195,1.5432,1.8194,True
0.7500,8.5500,0.9194,8512.7124,2057.5644,2061.4116,0.9525,0.9330,0.9588,3.5830,2.2510,0.9997,-0.0774,-0.1195,1.5432,1.7836,True
1.0000,8.3000,0.8925,8360.2315,1993.5444,2052.6434,0.9354,0.9040,0.9447,3.5147,2.2497,0.9997,-0.0774,-0.1195,1.5432,1.7467,True
1.2500,8.0500,0.8656,8206.5704,1924.8347,2040.0441,0.9182,0.8728,0.9304,3.4479,2.2417,0.9998,-0.0774,-0.1195,1.5432,1.7081,True
1.5000,7.8000,0.8387,8053.7035,1845.7893,2029.4323,0.9011,0.8370,0.9158,3.4953,2.2094,0.9998,-0.0774,-0.1195,1.5432,1.6699,True
1.7500,7.5500,0.8118,7900.7396,1769.4216,2015.5796,0.8840,0.8024,0.9010,3.5247,2.1660,0.9998,-0.0774,-0.1195,1.5432,1.6304,True
2.0000,7.3000,0.7849,7739.4543,1694.6367,2000.7624,0.8660,0.7685,0.8860,3.5752,2.1211,0.9998,-0.0774,-0.1195,1.5432,1.5908,True
2.2500,7.0500,0.7581,7571.2343,1621.0333,1984.8340,0.8471,0.7351,0.8707,3.6305,2.0780,0.9998,-0.0774,-0.1195,1.5432,1.5502,True
2.5000,6.8000,0.7312,7400.0108,1548.8925,1967.2811,0.8280,0.7024,0.8551,3.6845,2.0294,0.9998,-0.0774,-0.1195,1.5432,1.5095,True
3.0000,6.3000,0.6774,7048.2200,1410.7987,1929.1448,0.7886,0.6397,0.8231,3.8458,1.8772,0.9998,-0.0774,-0.1195,1.5432,1.4266,False
3.2500,6.0500,0.6505,6874.6359,1345.9188,1908.2826,0.7692,0.6103,0.8066,3.8819,1.8070,0.9998,-0.0774,-0.1195,1.5432,1.3856,False
3.5000,5.8000,0.6237,6691.9082,1282.0118,1886.2539,0.7488,0.5813,0.7897,3.9633,1.7175,0.9998,-0.0774,-0.1195,1.5432,1.3421,False
4.0000,5.3000,0.5699,6317.8420,1158.2892,1838.5622,0.7069,0.5252,0.7549,4.1667,1.5347,0.9998,-0.0774,-0.1195,1.5432,1.2547,False
4.2500,5.0500,0.5430,6122.7916,1105.5963,1812.3984,0.6851,0.5013,0.7369,4.0812,1.4849,0.9998,-0.0774,-0.1195,1.5432,1.2092,False
4.5000,4.8000,0.5161,5934.8166,1044.8814,1786.0619,0.6640,0.4738,0.7184,4.2526,1.3662,0.9998,-0.0774,-0.1195,1.5432,1.1648,False
4.7500,4.5500,0.4892,5729.7139,989.5523,1757.9232,0.6411,0.4487,0.6995,4.3135,1.2940,0.9998,-0.0774,-0.1195,1.5432,1.1185,False
5.0000,4.3000,0.4624,5526.2546,940.6742,1727.7999,0.6183,0.4266,0.6800,4.2794,1.2157,0.9998,-0.0774,-0.1195,1.5432,1.0706,False
5.2500,4.0500,0.4355,5318.3401,887.4922,1698.0867,0.5951,0.4024,0.6599,4.2993,1.1646,0.9998,-0.0774,-0.1195,1.5432,1.0259,False
