run,S_D,scour_m,su0,k_su,Hmax_kN,H_ratio,V_ratio,f1_Hz,f1_f0,fixity_proxy
1,0.0,0.0,17.35000707035917,21.135260084371343,27022.240234375,1.0,1.0,0.26303576058433314,1.0020641857683612,0.2717091995696424
2,0.0,0.0,11.087166475510786,18.453751058144785,21934.9140625,1.0,1.0,0.2618154177903671,0.9974151532357608,0.27980715423806574
3,0.0,0.0,15.273207569797425,22.658440762474363,27612.990234375,1.0,1.0,0.26313920958379705,1.002458286316462,0.27106187572007673
4,0.0,0.0,12.154904291518438,20.08741582350869,24048.13671875,1.0,1.0,0.2623762070630587,0.9995515427695602,0.2761478981434667
5,0.0,0.0,11.737516568954174,28.8557062387013,32478.544921875,1.0,1.0,0.26389867359134705,1.0053515495011154,0.2660018359283926
6,0.0,0.0,9.36323654015811,11.435086118786344,15528.80859375,1.0,1.0,0.2592633253503256,0.9876926712916532,0.29571673400267695
7,0.0,0.0,13.651234782468118,20.053586002215653,24951.798828125,1.0,1.0,0.26259331592062535,1.0003786432752,0.2746911629633614
8,0.0,0.0,18.928188174386595,20.14475111755221,26441.37109375,1.0,1.0,0.262927509809523,1.0016517923193566,0.27239700585891247
9,0.0,0.0,17.051273061225068,13.839196541747564,18809.072265625,1.0,1.0,0.26081409227530095,0.9936004915535819,0.2859831134014038
10,0.0,0.0,12.64474233692186,17.398580462602002,22516.74609375,1.0,1.0,0.26198898839199997,0.9980763898798284,0.27863421276678074
11,0.0,0.0,10.680075067097984,10.410266995510238,14278.470703125,1.0,1.0,0.25852930807601654,0.9848963502869106,0.30004636236726634
12,0.0,0.0,19.70071283341377,18.68983226779888,23547.09765625,1.0,1.0,0.2622809692109387,0.9991887235067841,0.27662843066731096
13,0.0,0.0,14.84979277306075,18.54090005794223,23344.685546875,1.0,1.0,0.26221405794849134,0.9989338175594935,0.27714229746219243
14,0.0,0.0,10.903665193215144,15.048076538225706,19371.673828125,1.0,1.0,0.2609902475773265,0.9942715749032407,0.28504401018508
15,0.0,0.0,16.839229763559747,21.8153483268319,27524.330078125,1.0,1.0,0.26312858829625024,1.002417823332137,0.2711030052118083
16,0.0,0.0,25.06802879734423,25.10012059132241,31895.54296875,1.0,1.0,0.26385049974043717,1.0051680258213689,0.2661652175823636
17,0.0,0.0,21.99515498965789,20.661129180280007,28008.669921875,1.0,1.0,0.2632335068291165,1.0028175222322984,0.2703212606023464
18,0.0,0.0,11.708796277265836,19.239182024183773,23599.73828125,1.0,1.0,0.262265558702501,0.9991300154491589,0.2768724882821709
19,0.0,0.0,16.48607498300795,21.128497484367085,25429.4296875,1.0,1.0,0.2627058152704756,1.0008072221465927,0.27391491390748757
20,0.0,0.0,12.330572282462647,14.354780013345362,18871.998046875,1.0,1.0,0.26081304187477006,0.9935964899351313,0.2861127540642805
21,0.0,0.0,15.58396595344531,25.48001119237249,30476.484375,1.0,1.0,0.2636207941358867,1.0042929365974589,0.2678321069136634
22,0.0,0.0,21.624246197091168,23.75688076270149,30882.953125,1.0,1.0,0.26369903917263987,1.0045910198271701,0.2672176400441371
23,0.0,0.0,17.6760544156295,19.967010650308765,25051.650390625,1.0,1.0,0.26262870373524955,1.0005134571178833,0.27439272443534013
24,0.0,0.0,16.029946280126634,21.934234174897973,27625.740234375,1.0,1.0,0.26314506761752227,1.0024806031519446,0.2710049969264647
